id,en,sv
343,French Dahomey,Franska Dahomey
412,French Upper Volta,Franska Övre Volta
427,Colony of Cote d'Ivoire,Kolonin Elfenbenskusten
408,French Gabon,Franska Gabon
545,Territory of Chad,Territoriet Tchad
128,Colony of Seychelles,Kolonin Seychellerna
173,Sao Tome and Principe,São Tomé och Príncipe
591,French Comoros,Franska Komorerna
240,Colony of Swaziland,Kolonin Swaziland
186,British Mauritius,Brittiska Mauritius
223,Gambia Colony and Protectorate,Kolonin och protektoratet Gambia
401,Uganda Protectorate,Uganda-protektoratet
311,Colony of Sierra Leone,Kolonin Sierra Leone
6,Southern Cameroons,Sydkamerun
9,Trust Territory of Somalia,Förvaltarskapsområdet Somalia
148,Colony of Antigua,Kolonin Antigua
167,British Leeward Islands,Brittiska Läöarna
184,British Windward Islands,Brittiska Lovartöarna
204,Colony of Trinidad and Tobago,Kolonin Trinidad och Tobago
459,Territory of Papua and New Guinea,Territoriet Papua och Nya Guinea
12,Protectorate of South Arabia,Protektoratet Sydarabien
162,Protectorate of Bahrain,Protektoratet Bahrain
227,Protectorate of Qatar,Protektoratet Qatar
118,Malta Colony,Maltakolonin
238,British Kuwait,Brittiska Kuwait
242,Colony of Fiji,Kolonin Fiji
260,British Solomon Islands,Brittiska Solomonöarna
195,Western Samoa Trust Territory,Förvaltarskapsområdet Västsamoa
303,British Ceylon,Brittiska Ceylon
385,French Senegal,Franska Senegal
20,British Military Administration of Libya,Brittiska militäradministrationen i Libyen
24,French Madagascar,Franska Madagaskar
291,Malagasy Republic,Malagassiska republiken
203,US occupation of Ryukyu Islands,USA:s ockupation av Ryūkyūöarna
210,Cyprus,Cypern
380,French Cambodia,Franska Kambodja
540,Ethiopian-Eritrean Federation,Etiopiskﾖeritreanska federationen
331,British occupation zone,Brittiska ockupationszonen
34,French occupation zone,Franska ockupationszonen
335,American occupation zone,Amerikanska ockupationszonen
334,Soviet occupation zone,Sovjetiska ockupationszonen
36,Japanese occupation of the Dutch East Indies,Holländska Ostindien under japansk ockupation
40,British occupation of Italian Somaliland,Italienska Somaliland under brittisk ockupation
193,German Samoa,Tyska Samoa
2,Union of India,Indiska unionen
508,Dominion of Pakistan,Dominionen Pakistanﾠ
209,Jordan West Bank,Jordanskockuperade Västbanken
125,Egyptian Gaza,Egyptiskockuperade Gaza
218,British Cyprus,Brittiska Cypern
326,Republic of Hungary,Republiken Ungern
54,French occupation zone in Austria,Franska ockupationszonen i Österrike
55,American occupation zone in Austria,Amerikanska ockupationszonen i Österrike
56,Soviet occupation zone in Austria,Sovjetiska ockupationszonen i Österrike
57,British occupation zone in Austria,Brittiska ockupationszonen i Österrike
170,Japanese occupation of Hong Kong,Hongkong under japansk ockupation
141,French India,Franska Indien
476,Somali Republic,Somaliska republiken
290,Spanish State,Spanien
556,Libyan Arab Jamahiriya,Libyska arabrepubliken
312,Colony and protectorate of Sierra Leone,Kolonin och protektoratet Sierra Leone
128,Colony of Seychelles,Seychellerna
591,French Comoros,Franska Komorerna
451,Iraq under Coalition Provisional Authority,Iraq under koalitionens ockupation
454,Republic of Iraq,Republiken Irak
452,Kingdom of Iraq,Kungariket Irak
484,British Burma,Brittiska Burma
484,British Burma,Brittiska Burma
483,Union of Burma,Burmesiska unionen
486,Socialist Republic of the Union of Burma,Socialistrepubliken Burmesiska unionen
428,Empire of Vietnam,Kejsardömet Vietnam
330,US occupation of Korea,Korea under amerikansk ockupation
351,People's Committee for North Korea,Nordkorea under Folkkommittén
352,Soviet Civil Authority,Nordkorea under sovjetisk ockupation
192,Italian Dodecanese,Italienska Dodekanisos
433,British Military Administration of Malaya,Malaya under brittisk ockupation
207,Protectorate of Brunei,Protektoratet Brunei
98,Crown colony of Labuan,Labuan
66,Japanese-occupied British Borneo ,Brittiska Borneo under japansk ockupation
362,Japanese-occupied Malaya,Malaya under japansk ockupation
155,Japanese-occupied Singapore,Singapore under japansk ockupation
62,Territory of Papua,Territoriet Papua
60,Trust Territory of New Guinea,Förvaltarskapsområdet Nya Guinea
220,State of Greater Lebanon,Franska Libanon
532,South Africa,Sydafrika
554,Iran,Iran
245,Colony of New Caledonia,Kolonin Nya Kaledonien
465,France,Frankrike
533,South Africa,Sydafrika
