id,shapeid,municipality_code,name,wikidata,shn_code,class,sdate,edate
10000,3762,3762,Scuol,69079,CH18253762,m3762,0,9
10001,1631,1631,Glarus Süd,70695,CH08001631,m1631,0,9
10002,3746,3746,Zernez,64609,CH18253746,m3746,0,9
10003,6031,6031,Bagnes,68906,CH23036031,m6031,0,9
10004,3851,3851,Davos,68097,CH18303851,m3851,0,9
10005,3792,3792,Bregaglia,70677,CH18273792,m3792,0,9
10006,6252,6252,Anniviers,70336,CH23116252,m6252,0,9
10007,6300,6300,Zermatt,27494,CH23136300,m6300,0,9
10008,784,784,Innertkirchen,69231,CH02500784,m784,0,9
10009,6083,6083,Evolène,69551,CH23056083,m6083,0,9
10010,5049,5049,Blenio,68789,CH21025049,m5049,0,9
10011,782,782,Guttannen,69419,CH02500782,m782,0,9
10012,3847,3847,Val Müstair,70513,CH18253847,m3847,0,9
10013,3871,3871,Klosters-Serneus,68236,CH18303871,m3871,0,2015-12-31
10014,3561,3561,Poschiavo,69503,CH18223561,m3561,0,9
10015,5323,5323,Lavizzara,68005,CH21085323,m5323,0,9
10016,3603,3603,Vals,342631,CH18313603,m3603,0,9
10017,6058,6058,Fieschertal,70716,CH23046058,m6058,0,9
10018,1367,1367,Muotathal,66069,CH05061367,m1367,0,9
10019,576,576,Grindelwald,64004,CH02500576,m576,0,9
10020,3618,3618,Lumnezia,1877273,CH18313618,m3618,0,9
10021,6034,6034,Orsières,70206,CH23036034,m6034,0,9
10022,3822,3822,Mesocco,64617,CH18283822,m3822,0,9
10023,584,584,Lauterbrunnen,64011,CH02500584,m584,0,9
10024,6076,6076,Obergoms,70614,CH23046076,m6076,0,9
10025,3921,3921,Arosa,63954,CH18293921,m3921,0,9
10026,1630,1630,Glarus Nord,70635,CH08001630,m1630,0,9
10027,3672,3672,Safiental,496239,CH18313672,m3672,0,9
10028,5310,5310,Cevio,67675,CH21085310,m5310,0,9
10029,6007,6007,Naters,67040,CH23016007,m6007,0,9
10030,3521,3521,Bergn/Bravuogn,68319,CH18213521,m3521,0,9
10031,1216,1216,Silenen,2285965,CH04001216,m1216,0,9
10032,3293,3293,Mels,67027,CH17253293,m3293,0,9
10033,3788,3788,S-chanf,65552,CH18273788,m3788,0,9
10034,3983,3983,Medel (Lucmagn),64925,CH18313983,m3983,0,9
10035,565,565,Kandersteg,66218,CH02490565,m565,0,9
10036,3986,3986,Tujetsch,64280,CH18313986,m3986,0,9
10037,3619,3619,Ilanz/Glion,15056824,CH18313619,m3619,0,9
10038,762,762,Diemtigen,65957,CH02490762,m762,0,9
10039,3294,3294,Pfäfers ,66052,CH17253294,m3294,0,9
10040,5072,5072,Faido,69673,CH21035072,m5072,0,9
10041,567,567,Reichenbach im Kandertal,66378,CH02490567,m567,0,9
10042,6512,6512,Val-de-Travers,2507668,CH24066512,m6512,0,9
10043,6487,6487,Val-de-Ruz,2507665,CH24056487,m6487,0,9
10044,792,792,Lenk,1218094,CH02480792,m792,0,9
10045,843,843,Saanen,66629,CH02480843,m843,0,9
10046,3784,3784,Pontresina,69259,CH18273784,m3784,0,9
10047,5841,5841,Chteau-d'Oex,52699,CH22305841,m5841,0,9
10048,2163,2163,Val-de-Charmey,2507678,CH10032163,m2163,0,9
10049,5317,5317,Maggia,438162,CH21085317,m5317,0,9
10050,6288,6288,Saas-Almagell,68037,CH23136288,m6288,0,9
10051,1301,1301,Einsiedeln,68950,CH05011301,m1301,0,9
10052,1004,1004,Flühli,14552,CH03161004,m1004,0,9
10053,6084,6084,Hérémence,69553,CH23056084,m6084,0,9
10054,1010,1010,Escholzmatt-Marbach,14550,CH03161010,m1010,0,9
10055,1208,1208,Göschenen,69639,CH04001208,m1208,0,9
10056,1632,1632,Glarus,63912,CH08001632,m1632,0,9
10057,3985,3985,Sumvitg,64942,CH18313985,m3985,0,9
10058,5872,5872,Le Chenit,52743,CH22245872,m5872,0,9
10059,5050,5050,Serravalle,373446,CH21025050,m5050,0,9
10060,1220,1220,Wassen,69635,CH04001220,m1220,0,9
10061,5402,5402,Bex,52261,CH22215402,m5402,0,9
10062,5061,5061,Airolo,69265,CH21035061,m5061,0,9
10063,3542,3542,Albula/Alvra,15890943,CH18213542,m3542,0,9
10064,3681,3681,Avers,69196,CH18233681,m3681,0,9
10065,3360,3360,Nesslau,70720,CH17273360,m3360,0,9
10066,1511,1511,Wolfenschiessen,64351,CH07001511,m1511,0,9
10067,1404,1404,Kerns,67159,CH06001404,m1404,0,9
10068,261,261,Zürich,72,CH01120261,m261,0,9
10069,6009,6009,Simplon,296998,CH23016009,m6009,0,9
10070,3982,3982,Disentis/Mustér,68347,CH18313982,m3982,0,9
10071,6192,6192,Blatten,728798,CH23096192,m6192,0,9
10072,6032,6032,Bourg-Saint-Pierre,70157,CH23036032,m6032,0,9
10073,6292,6292,St. Niklaus,2321871,CH23136292,m6292,0,9
10074,561,561,Adelboden,68994,CH02490561,m561,0,9
10075,3359,3359,Wildhaus-Alt St. Johann,70619,CH17273359,m3359,0,9
10076,6011,6011,Zwischbergen,68087,CH23016011,m6011,0,9
10077,6024,6024,Nendaz,69540,CH23026024,m6024,0,9
10078,1403,1403,Giswil,69248,CH06001403,m1403,0,9
10079,6023,6023,Conthey,69563,CH23026023,m6023,0,9
10080,1209,1209,Gurtnellen,65450,CH04001209,m1209,0,9
10081,1219,1219,Unterschächen,65959,CH04001219,m1219,0,9
10082,1212,1212,Realp,67161,CH04001212,m1212,0,9
10083,791,791,Boltigen,65939,CH02480791,m791,0,9
10084,1407,1407,Sarnen,63964,CH06001407,m1407,0,9
10085,3531,3531,Bivio,68332,CH18213531,m3531,0,2015-12-31
10086,5063,5063,Bedretto,67035,CH21035063,m5063,0,9
10087,5079,5079,Quinto,406409,CH21035079,m5079,0,9
10088,3292,3292,Flums,69954,CH17253292,m3292,0,9
10089,1402,1402,Engelberg,64108,CH06001402,m1402,0,9
10090,3295,3295,Quarten,66228,CH17253295,m3295,0,9
10091,794,794,Zweisimmen,69417,CH02480794,m794,0,9
10092,563,563,Frutigen,66208,CH02490563,m563,0,9
10093,6729,6729,Haute-Sorne,5682949,CH26016729,m6729,0,9
10094,6265,6265,Savièse,69558,CH23126265,m6265,0,9
10095,230,230,Winterthur,9125,CH01100230,m230,0,9
10096,6111,6111,Leukerbad,69436,CH23066111,m6111,0,9
10097,6054,6054,Binn,68471,CH23046054,m6054,0,9
10098,5410,5410,Ormont-Dessous,70227,CH22215410,m5410,0,9
10099,3789,3789,Sils im Engadin/Segl,64200,CH18273789,m3789,0,9
10100,3785,3785,La Punt-Chamues-ch,65637,CH18273785,m3785,0,9
10101,841,841,Gsteig bei Gstaad,1177720,CH02480841,m841,0,9
10102,1202,1202,Andermatt,64019,CH04001202,m1202,0,9
10103,908,908,Trub,67842,CH02450908,m908,0,9
10104,3612,3612,Obersaxen,64314,CH18313612,m3612,0,2015-12-31
10105,6808,6808,Clos du Doubs,68869,CH26036808,m6808,0,9
10106,1211,1211,Isenthal,65573,CH04001211,m1211,0,9
10107,3962,3962,Schiers,65244,CH18303962,m3962,0,9
10108,5411,5411,Ormont-Dessus,70082,CH22215411,m5411,0,9
10109,5048,5048,Acquarossa,68358,CH21025048,m5048,0,9
10110,793,793,St. Stephan,114139,CH02480793,m793,0,9
10111,3694,3694,Splügen,1159635,CH18233694,m3694,0,9
10112,901,901,Eggiwil,67393,CH02450901,m901,0,9
10113,2121,2121,Haut-Intyamon,66876,CH10032121,m2121,0,9
10114,5409,5409,Ollon,70115,CH22215409,m5409,0,9
10115,957,957,Sumiswald,68167,CH02450957,m957,0,9
10116,2299,2299,Plaffeien,67798,CH10062299,m2299,0,9
10117,5281,5281,Biasca,67523,CH21075281,m5281,0,9
10118,1206,1206,Erstfeld,69642,CH04001206,m1206,0,9
10119,3808,3808,Rossa,1692975,CH18283808,m3808,0,9
10120,6295,6295,Täsch,69305,CH23136295,m6295,0,9
10121,6177,6177,Grengiols,67332,CH23096177,m6177,0,9
10122,842,842,Lauenen,65903,CH02480842,m842,0,9
10123,3105,3105,Schwende,240294,CH16003105,m3105,0,9
10124,1406,1406,Sachseln,64614,CH06001406,m1406,0,9
10125,853,853,Rschegg,65474,CH02460853,m853,0,9
10126,1401,1401,Alpnach,69296,CH06001401,m1401,0,9
10127,3752,3752,Samnaun,69358,CH18253752,m3752,0,9
10128,6421,6421,La Chaux-de-Fonds,68124,CH24026421,m6421,0,9
10129,938,938,Sigriswil,65732,CH02470938,m938,0,9
10130,2138,2138,Jaun,66911,CH10032138,m2138,0,9
10131,6110,6110,Leuk,69590,CH23066110,m6110,0,9
10132,6082,6082,Ayent,70167,CH23056082,m6082,0,9
10133,852,852,Guggisberg,64969,CH02460852,m852,0,9
10134,3342,3342,Eschenbach (SG),66824,CH17263342,m3342,0,9
10135,3273,3273,Grabs,67048,CH17243273,m3273,0,9
10136,6287,6287,Randa,422968,CH23136287,m6287,0,9
10137,3541,3541,Tinizong-Rona,65640,CH18213541,m3541,0,2015-12-31
10138,6218,6218,Salvan,1495627,CH23106218,m6218,0,9
10139,1372,1372,Schwyz,446085,CH05061372,m1372,0,9
10140,1205,1205,Brglen (UR),69321,CH04001205,m1205,0,9
10141,3893,3893,St. Antnien,65057,CH18303893,m3893,0,2015-12-31
10142,3987,3987,Trun,359267,CH18313987,m3987,0,9
10143,5702,5702,Arzier-Le Muids,43218,CH22285702,m5702,0,9
10144,6298,6298,Visperterminen,70387,CH23136298,m6298,0,9
10145,351,351,Bern,70,CH02460351,m351,0,9
10146,5397,5397,Centovalli,682723,CH21045397,m5397,0,9
10147,3379,3379,Wattwil,66601,CH17273379,m3379,0,9
10148,579,579,Habkern,64779,CH02500579,m579,0,9
