id,name,code,shapeid,wikidata,class,sdate,edate,version,versionset
1001,Qaanaaq,AV,2,1612711,av,1988-01-01,2008-12-31,,
1020,Qaanaaq,AV,20,1612711,av,1979-01-01,1987-12-31,,
1002,Northeast Greenland National Park,,3,309276,national-park,1988-01-01,9,,
1019,Northeast Greenland National Park,,1,309276,national-park,1974-05-22,1987-12-31,,
1003,Aasiaat,AA,4,2569818,aa,1979-01-01,2008-12-31,,
1004,Ilulissat,IL,5,1906815,il,1979-01-01,2008-12-31,,
1005,Ivittuut,IV,6,1616549,iv,1979-01-01,2008-12-31,,
1006,Kangaatsiaq,KA,7,1616561,ka,1979-01-01,2008-12-31,,
1007,Maniitsoq,MA,8,1616572,ma,1979-01-01,2008-12-31,,
1008,Nanortalik,NN,9,1616536,nn,1979-01-01,2008-12-31,,
1009,Narsaq,NR,10,2336567,nr,1979-01-01,2008-12-31,,
1010,Nuuk,NU,11,617630,nu,1979-01-01,2008-12-31,,
1011,Paamiut,PA,12,937296,pa,1979-01-01,2008-12-31,,
1012,Qaqortoq,QQ,13,1612733,qq,1979-01-01,2008-12-31,,
1013,Qasigiannguit,QG,14,10647987,qg,1979-01-01,2008-12-31,,
1014,Sisimiut,SI,15,2571259,si,1979-01-01,2008-12-31,,
1015,Upernavik,UP,16,967944,up,1979-01-01,2008-12-31,,
1016,Uummannaq,UM,17,1616595,um,1979-01-01,2008-12-31,,
1017,Ammassalik,TA,18,370694,ta,1979-01-01,2008-12-31,,
1018,Illoqqortoormiut,IT,19,2336647,it,1979-01-01,2008-12-31,,
1021,Qeqertarsuaq,,21,1616600,qeqertarsuaq,1979-01-01,2008-12-31,,
1022,Kujalleq,KU,22,478813,ku,2009-01-01,9,,
1023,Qaasuitsup,QA,23,641460,qa,2009-01-01,9,,
1024,Qeqqata,QE,24,476233,qe,2009-01-01,9,,
1025,Sermersooq,SM,25,695387,sm,2009-01-01,9,,
