"id","shapeid","municipality_code","name","wikidata","class","sdate","edate"
10000,1622,1622,"Agdenes",392093,"m1622",0,9
10001,1820,1820,"Alstahaug",217808,"m1820",0,9
10002,2012,2012,"Alta",6535,"m2012",0,9
10003,438,438,"Alvdal",48723,"m438",0,9
10004,719,719,"Andebu",486687,"m719",0,2016-12-31
10005,1871,1871,"Andøy",113710,"m1871",0,9
10006,118,118,"Aremark",48393,"m118",0,9
10007,906,906,"Arendal",57919,"m906",0,9
10008,220,220,"Asker",56869,"m220",0,9
10009,124,124,"Askim",109469,"m124",0,9
10010,1428,1428,"Askvoll",504817,"m1428",0,9
10011,1247,1247,"Askøy",215374,"m1247",0,9
10012,1027,1027,"Audnedal",499842,"m1027",0,9
10013,1547,1547,"Aukra",489342,"m1547",0,9
10014,1576,1576,"Aure",499429,"m1576",0,9
10015,1421,1421,"Aurland",486700,"m1421",0,9
10016,221,221,"Aurskog-Høland",56915,"m221",0,9
10017,1244,1244,"Austevoll",484008,"m1244",0,9
10018,1264,1264,"Austrheim",484080,"m1264",0,9
10019,1554,1554,"Averøy",484111,"m1554",0,9
10020,1418,1418,"Balestrand",493292,"m1418",0,9
10021,1854,1854,"Ballangen",113514,"m1854",0,9
10022,1933,1933,"Balsfjord",486717,"m1933",0,9
10023,814,814,"Bamble",484052,"m814",0,9
10024,1922,1922,"Bardu",493315,"m1922",0,9
10025,1839,1839,"Beiarn",487524,"m1839",0,9
10026,1929,1929,"Berg",503912,"m1929",0,9
10027,1201,1201,"Bergen",26793,"m1201",0,9
10028,2024,2024,"Berlevåg",109489,"m2024",0,9
10029,1811,1811,"Bindal",489362,"m1811",0,9
10030,928,928,"Birkenes",88802,"m928",0,9
10031,1114,1114,"Bjerkreim",493308,"m1114",0,9
10032,1627,1627,"Bjugn",484243,"m1627",0,9
10033,1804,1804,"Bodø",39383,"m1804",0,9
10034,1145,1145,"Bokn",489351,"m1145",0,9
10035,1438,1438,"Bremanger",499455,"m1438",0,9
10036,1813,1813,"Brønnøy",112855,"m1813",0,9
10037,938,938,"Bygland",88804,"m938",0,9
10038,941,941,"Bykle",88806,"m941",0,9
10039,2028,2028,"Bærum",57076,"m2028",0,9
10040,219,219,"Bø",499450,"m219",0,9
10041,821,821,"Bø",499450,"m821",0,9
10042,1867,1867,"Bømlo",113552,"m1867",0,9
10043,1219,1219,"Båtsfjord",48813,"m1219",0,9
10044,511,511,"Dovre",486677,"m511",0,9
10045,602,602,"Drammen",26525,"m602",0,9
10046,817,817,"Drangedal",2367,"m817",0,9
10047,1926,1926,"Dyrøy",252381,"m1926",0,9
10048,1827,1827,"Dønna",489347,"m1827",0,9
10049,1443,1443,"Eid",500198,"m1443",0,9
10050,1551,1551,"Eide",493296,"m1551",0,9
10051,1232,1232,"Eidfjord",483977,"m1232",0,9
10052,125,125,"Eidsberg",113740,"m125",0,9
10053,420,420,"Eidskog",48913,"m420",0,9
10054,237,237,"Eidsvoll",57080,"m237",0,9
10055,1101,1101,"Eigersund",483877,"m1101",0,9
10056,427,427,"Elverum",109140,"m427",0,9
10057,229,229,"Enebakk",57081,"m229",0,9
10058,434,434,"Engerdal",48909,"m434",0,9
10059,1211,1211,"Etne",48782,"m1211",0,9
10060,541,541,"Etnedal",488049,"m541",0,9
10061,1853,1853,"Evenes",48897,"m1853",0,9
10062,937,937,"Evje og Hornnes",88808,"m937",0,9
10063,1003,1003,"Farsund",490462,"m1003",0,9
10064,1841,1841,"Fauske",48696,"m1841",0,9
10065,1265,1265,"Fedje",484213,"m1265",0,9
10066,227,227,"Fet",57082,"m227",0,9
10067,1141,1141,"Finnøy",48750,"m1141",0,9
10068,1222,1222,"Fitjar",113491,"m1222",0,9
10069,1429,1429,"Fjaler",499397,"m1429",0,9
10070,1246,1246,"Fjell",473529,"m1246",0,9
10071,1859,1859,"Flakstad",494680,"m1859",0,9
10072,1749,1749,"Flatanger",48276,"m1749",0,9
10073,1004,1004,"Flekkefjord",493481,"m1004",0,9
10074,631,631,"Flesberg",93633,"m631",0,9
10075,1401,1401,"Flora",493811,"m1401",0,9
10076,615,615,"Flå",93703,"m615",0,9
10077,439,439,"Folldal",484064,"m439",0,9
10078,1129,1129,"Forsand",484309,"m1129",0,9
10079,1748,1748,"Fosnes",494688,"m1748",0,9
10080,106,106,"Fredrikstad",107135,"m106",0,9
10081,215,215,"Frogn",57083,"m215",0,9
10082,919,919,"Froland",88810,"m919",0,9
10083,1717,1717,"Frosta",489374,"m1717",0,9
10084,1548,1548,"Fræna",484128,"m1548",0,9
10085,1620,1620,"Frøya",484119,"m1620",0,9
10086,1241,1241,"Fusa",493279,"m1241",0,9
10087,831,831,"Fyresdal",1881,"m831",0,9
10088,1432,1432,"Førde",113571,"m1432",0,9
10089,2023,2023,"Gamvik",113729,"m2023",0,9
10090,1430,1430,"Gaular",493273,"m1430",0,9
10091,522,522,"Gausdal",486713,"m522",0,9
10092,1838,1838,"Gildeskål",484208,"m1838",0,9
10093,1532,1532,"Giske",494670,"m1532",0,9
10094,1557,1557,"Gjemnes",493283,"m1557",0,9
10095,234,234,"Gjerdrum",57084,"m234",0,9
10096,911,911,"Gjerstad",88813,"m911",0,9
10097,1122,1122,"Gjesdal",255148,"m1122",0,9
10098,502,502,"Gjøvik",108031,"m502",0,9
10099,1445,1445,"Gloppen",383492,"m1445",0,9
10100,617,617,"Gol",493301,"m617",0,9
10101,534,534,"Gran",501518,"m534",0,9
10102,1825,1825,"Grane",493758,"m1825",0,9
10103,1234,1234,"Granvin",484186,"m1234",0,9
10104,1919,1919,"Gratangen",175704,"m1919",0,9
10105,904,904,"Grimstad",90590,"m904",0,9
10106,1742,1742,"Grong",258084,"m1742",0,9
10107,423,423,"Grue",488783,"m423",0,9
10108,1411,1411,"Gulen",217793,"m1411",0,9
10109,1866,1866,"Hadsel",484043,"m1866",0,9
10110,101,101,"Halden",109042,"m101",0,9
10111,1571,1571,"Halsa",488247,"m1571",0,9
10112,403,403,"Hamar",104400,"m403",0,9
10113,1849,1849,"Hamarøy",487538,"m1849",0,9
10114,2004,2004,"Hammerfest",107351,"m2004",0,9
10115,1534,1534,"Haram",499575,"m1534",0,9
10116,1517,1517,"Hareid",494029,"m1517",0,9
10117,1903,1903,"Harstad",62140,"m1903",2013-01-01,9
10118,2015,2015,"Hasvik",109841,"m2015",0,9
10119,1826,1826,"Hattfjelldal",488384,"m1826",0,9
10120,1106,1106,"Haugesund",109036,"m1106",0,9
10121,1612,1612,"Hemne",488388,"m1612",0,9
10122,1832,1832,"Hemnes",488776,"m1832",0,9
10123,618,618,"Hemsedal",497248,"m618",0,9
10124,1515,1515,"Herøy",493762,"m1515",0,9
10125,1818,1818,"Herøy",493762,"m1818",0,9
10126,1617,1617,"Hitra",109025,"m1617",0,9
10127,827,827,"Hjartdal",2354,"m827",0,9
10128,1133,1133,"Hjelmeland",250055,"m1133",0,9
10129,138,138,"Hobøl",109475,"m138",0,9
10130,714,714,"Hof",499786,"m714",0,9
10131,620,620,"Hol",484057,"m620",0,9
10132,612,612,"Hole",488622,"m612",0,9
10133,702,702,"Holmestrand",483871,"m702",0,9
10134,1644,1644,"Holtålen",484084,"m1644",0,9
10135,1444,1444,"Hornindal",494049,"m1444",0,9
10136,701,701,"Horten",109048,"m701",0,9
10137,239,239,"Hurdal",57858,"m239",0,9
10138,628,628,"Hurum",488611,"m628",0,9
10139,111,111,"Hvaler",160,"m111",0,9
10140,1413,1413,"Hyllestad",494037,"m1413",0,9
10141,1119,1119,"Hægebostad",488962,"m1119",0,9
10142,1034,1034,"Høyanger",113720,"m1034",0,9
10143,1416,1416,"Høylandet",162144,"m1416",0,9
10144,1743,1743,"Hå",485608,"m1743",0,9
10145,1917,1917,"Ibestad",488258,"m1917",0,9
10146,1756,1756,"Inderøy",488970,"m1756",0,9
