id,shapeid,name,area,sdate,edate,kommunkod,wikidata,lan,class
1,114,Upplands Väsby,75.4,1971-01-01,9,114,499425,,k114 
2,115,Vallentuna,359.7,1971-01-01,9,115,501526,,k115 
3,9117,Österåker,,1971-01-01,1973-12-31,117,117728,,k117 
4,117,Österåker,310,1983-01-01,9,117,117728,,k117 
5,120,Värmdö,438.5,1971-01-01,9,120,493841,,k120 
6,123,Järfälla,50.7,1971-01-01,9,123,301259,,k123 
7,125,Ekerö,216,1971-01-01,9,125,492614,,k125 
8,126,Huddinge,129.4,1971-01-01,9,126,492575,,k126 
9,127,Botkyrka,196.8,1971-01-01,1973-12-31,127,113718,,k127 
10,9127,Botkyrka,251.4,1974-01-01,1982-12-31,127,113718,,k127 
11,127,Botkyrka,196.8,1983-01-01,9,127,113718,,k127 
12,9128,Salem,,1971-01-01,1973-12-31,128,14943851,,k128 
13,128,Salem,54.6,1983-01-01,9,128,1255130,,k128 
14,136,Haninge,454,1971-01-01,9,136,113692,,k136 
15,138,Tyresö,68.9,1971-01-01,9,138,113730,,k138 
16,139,Upplands-Bro,236.2,1971-01-01,9,139,113673,,k139 
17,140,Nykvarn,149.48,1999-01-01,9,140,499460,,k140 
18,160,Täby,60.4,1971-01-01,9,160,493066,,k160 
19,162,Danderyd,26.5,1971-01-01,9,162,113679,,k162 
20,163,Sollentuna,53.1,1971-01-01,9,163,503746,,k163 
21,180,Stockholm,187.5,1971-01-01,9,180,506250,,k180 
22,8181,Södertälje,,1971-01-01,1973-12-31,181,516336,,k181 
23,9181,Södertälje,,1974-01-01,1998-12-31,181,516336,,k181 
24,181,Södertälje,526.02,1999-01-01,9,181,516336,,k181 
25,182,Nacka,95.4,1971-01-01,9,182,946647,,k182 
26,183,Sundbyberg,8.8,1971-01-01,9,183,972564,,k183 
27,184,Solna,19.5,1971-01-01,9,184,109010,,k184 
28,186,Lidingö,30.4,2011-01-01,9,186,3120654,,k186 
29,186,Lidingö,30.05,1971-01-01,2010-12-31,186,3120654,,k186 
30,7187,Vaxholm,,1971-01-01,1973-12-31,187,500090,,k187 
31,8187,Vaxholm,362.2,1974-01-01,1982-12-31,187,500090,,k187 
32,9187,Vaxholm,57.2,1983-01-01,2010-12-31,187,500090,,k187 
33,187,Vaxholm,57.55,2011-01-01,9,187,500090,,k187 
34,188,Norrtälje,1999.6,1971-01-01,9,188,214048,,k188 
35,191,Sigtuna,327.3,1971-01-01,9,191,216915,,k191 
36,192,Nynäshamn,356.5,1971-01-01,9,192,505090,,k192 
37,305,Håbo,142.2,1971-01-01,9,305,511253,,k305 
38,319,Älvkarleby,208.4,1971-01-01,9,319,59858,,k319 
39,330,Knivsta,311.5,2003-01-01,9,330,504465,,k330 
40,360,Tierp,1543,1971-01-01,9,360,510198,,k360 
41,380,Uppsala,2230,2003-01-01,9,380,59091,,k380 
42,381,Enköping,1179.3,1971-01-01,9,381,509568,,k381 
43,382,Östhammar,1451.4,1971-01-01,9,382,59093,,k382 
44,428,Vingåker,368.2,1971-01-01,9,428,249378,,k428 
45,9461,Gnesta,,1971-01-01,1973-12-31,461,239332,,k461 
46,461,Gnesta,431.4,1992-01-01,9,461,239332,,k461 
47,8480,Nyköping,,1971-01-01,1973-12-31,480,500267,,k480 
48,9480,Nyköping,,1974-01-01,1991-12-31,480,500267,,k480 
49,480,Nyköping,1450,1992-01-01,9,480,500267,,k480 
50,481,Oxelösund,33.6,1971-01-01,9,481,505246,,k481 
51,482,Flen,715.5,1971-01-01,9,482,27982,,k482 
52,483,Katrineholm,1018.5,1971-01-01,9,483,508140,,k483 
53,484,Eskilstuna,1099,1971-01-01,9,484,503144,,k484 
54,486,Strängnäs,736.1,1971-01-01,9,486,501532,,k486 
55,411,Daga,,1971-01-01,1973-12-31,411,15060406,,k411 
56,408,Vagnhärad,,1971-01-01,1973-12-31,408,15093364,,k408 
57,9488,Trosa,,1971-01-01,1973-12-31,488,505064,,k488 
58,488,Trosa,208.5,1992-01-01,9,488,505064,,k488 
59,509,Ödeshög,431,1971-01-01,9,509,293970,,k509 
60,512,Ydre,678.4,1971-01-01,9,512,515699,,k512 
61,513,Kinda,1132.9,1974-01-01,9,513,515299,,k513 
62,515,Norra Kinda,,1971-01-01,1973-12-31,515,10602477,,k515
63,9513,Västra kinda,,1971-01-01,1973-12-31,513,14934211,,k513 
64,514,Södra Kinda,,1971-01-01,1973-12-31,514,10688921,,k514
65,560,Boxholm,527.6,1971-01-01,9,560,509514,,k560 
66,561,Åtvidaberg,685,1971-01-01,9,561,271340,,k561 
67,562,Finspång,1059.7,1971-01-01,9,562,503180,,k562 
68,563,Valdemarsvik,734.1,1971-01-01,9,563,509997,,k563 
69,580,Linköping,1430.6,1971-01-01,9,580,499410,,k580 
70,581,Norrköping,1490.7,1971-01-01,9,581,504676,,k581 
71,582,Söderköping,671.9,1971-01-01,9,582,515680,,k582 
72,502,Tjällmo,,1971-01-01,1973-12-31,502,15140047,,k502 
73,505,Aska,,1971-01-01,1973-12-31,505,15132549,,k505 
74,9583,Motala,,1971-01-01,1973-12-31,583,508108,,k583 
75,8583,Motala,1169.5,1974-01-01,1979-12-31,583,508108,,k583 
76,583,Motala,986,1980-01-01,9,583,508108,,k583 
77,584,Vadstena,183.5,1980-01-01,9,584,515969,,k584 
78,586,Mjölby,550.5,1971-01-01,9,586,267030,,k586 
79,604,Aneby,518.5,1971-01-01,9,604,503167,,k604 
80,617,Gnosjö,422.4,1971-01-01,9,617,509609,,k617 
81,642,Mullsjö,201.1,1998-01-01,9,642,505076,F,k642 F
82,642,Mullsjö,201.1,1971-01-01,1997-12-31,642,505076,R,k642 R
83,643,Habo,330.3,1998-01-01,9,643,503198,F,k643 F
84,643,Habo,330.3,1971-01-01,1997-12-31,643,503198,R,k643 R
85,662,Gislaved,1140.7,1971-01-01,9,662,505259,F,k662 
